person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_12963;2;zone_12963_2;other;40958.0;55908.0;;30;;630670.8741945329;4801058.961867902
zone_12963;3;zone_12963_3;home;56428.0;;;653;;631617.3538702233;4803507.970557354
zone_12964;1;zone_12964_1;home;;40131.0;;1061;;635197.0452507571;4805481.377529364
zone_12964;2;zone_12964_2;other;48318.0;54195.0;;1752;;631533.125867236;4801723.534703602
zone_12964;3;zone_12964_3;home;62382.0;;;1061;;635197.0452507571;4805481.377529364
zone_12965;1;zone_12965_1;home;;29866.0;;821;;630937.0482643002;4804556.9025685
zone_12965;2;zone_12965_2;work;43156.0;64202.0;;1126;;632390.0320176787;4801433.216836926
zone_12965;3;zone_12965_3;home;80111.0;;;821;;630937.0482643002;4804556.9025685
zone_12966;1;zone_12966_1;home;;36710.0;;1254;;636388.6401010551;4801896.6194677055
zone_12966;2;zone_12966_2;other;47933.0;55909.0;;1285;;629340.7867590222;4806513.8220451195
zone_12966;3;zone_12966_3;home;67162.0;;;1254;;636388.6401010551;4801896.6194677055
zone_12967;1;zone_12967_1;home;;27960.0;;2396;;632615.6877889372;4803550.049590833
zone_12967;2;zone_12967_2;work;28117.0;57843.0;;2115;;632454.0380809676;4803996.436411917
zone_12967;3;zone_12967_3;home;58085.0;;;2396;;632615.6877889372;4803550.049590833
zone_12968;1;zone_12968_1;home;;44777.0;;1683;;634633.6946353938;4803690.085799827
zone_12968;2;zone_12968_2;other;56622.0;59515.0;;1341;;632794.3477807443;4802527.6201878395
zone_12968;3;zone_12968_3;home;67002.0;;;1683;;634633.6946353938;4803690.085799827
